gene	iml_gene	n_rxn	rxns	ref_flux_max	wt_relax	fba_relax	wt_force	fba_force	delta_relax	delta_relax_pct	answered_relax	delta_force	delta_force_pct	answered_force	measured_pct_wt	map_route	measured_pct_change	measured_sign	sign_relax	match_relax	sign_force	match_force
ptsI	b2416	21	2DGLCptspp,ACGAptspp,ACMANAptspp,ACMUMptspp,ARBTptspp,ASCBptspp,CELBpts,CHTBSptspp,DHAPT,FRUpts2pp,FRUptspp,GALTptspp,GAMptspp,GLCptspp,MALTptspp,MANGLYCptspp,MANptspp,MNLptspp,SBTptspp,SUCptspp,TREptspp	10.0	0.8966923076922516	0.8966923076900563	0.8966923076153507		-2.1953550088937845e-12	-2.448281300130478e-10	False			False	149.8	b_number	49.80000000000001	1	-1		0	
putP	b1015	2	PPAt4pp,PROt4pp	0.004108293450983127	0.8966923076922516	0.896692307693009	0.8966923076153507		7.573941473992818e-13	8.446533341504057e-11	False			False	157.9	b_number	57.900000000000006	1	1		0	
rpiB	b4090	2	ALLPI,RPI	1.2460931909180901	0.8966923076922516	0.8966923076917395	0.8966923076153507		-5.121458812595847e-13	-5.7115007775371175e-11	False			False	35.5	b_number	-64.5	-1	-1		0	
rutF	b1007	1	PYROX	0.0	0.8966923076922516	0.8966923076915132	0.8966923076153507	0.744769230761124	-7.384093336781916e-13	-8.234812848775064e-11	False	-0.15192307685422668	-16.942609584579632	True	177.1	b_number	77.1	1	-1		-1	False
serB	b4388	1	PSP_L	1.3558824642150735	0.8966923076922516	0.8966923076921567	0.8966923076153507	0.829904390318988	-9.492406860545088e-14	-1.0586024636449675e-11	False	-0.06678791729636269	-7.448253623807414	True	49.7	b_number	-50.3	-1	-1		-1	True
spoT	b3650	3	GDPDPK,GDPTPDP,PPGPPDP	0.0	0.8966923076922516	0.8966923076926084	0.8966923076153507	0.8659230769305039	3.568256801145253e-13	3.9793547580759364e-11	False	-0.030769230684846827	-3.4314145915530414	True	36.6	b_number	-63.4	-1	1		-1	True
ssuA	b0936	5	BUTSO3abcpp,ETHSO3abcpp,ISETACabcpp,MSO3abcpp,SULFACabcpp	0.0	0.8966923076922516	0.896692307693135	0.8966923076153507		8.834044606942371e-13	9.851812635348545e-11	False			False	191.3	b_number	91.30000000000001	1	1		0	
talA	b2464	1	TALA	0.0	0.8966923076922516	0.8966923076917238	0.8966923076153507	0.8966923076910189	-5.278000259067994e-13	-5.886077324173304e-11	False	7.566824944404971e-11	8.438596919079261e-09	False	49.7	b_number	-50.3	-1	-1		1	
thrB	b0003	2	4HTHRK,HSK	0.42954832444192775	0.8966923076922516	0.8966923076909299	0.8966923076153507		-1.3217205108162489e-12	-1.4739955941161798e-10	False			False	33.5	b_number	-66.5	-1	-1		0	
tnaA	b3708	3	CYSDS,SERD_L,TRPAS2	0.044866037393704886	0.8966923076922516	0.8966923076894285	0.8966923076153507	0.560992978275072	-2.823075107016848e-12	-3.1483208708262263e-10	False	-0.3356993293402787	-37.437516357537646	True	50.7	b_number	-49.3	-1	-1		-1	True
xylG	b3567	1	XYLabcpp	0.0	0.8966923076922516	0.896692307688621	0.8966923076153507		-3.630651335129187e-12	-4.048937750423126e-10	False			False	29.5	b_number	-70.5	-1	-1		0	
yeaP	b1794	1	DGUNC	0.0	0.8966923076922516	0.8966923076932003	0.8966923076153507	0.8659230769289995	9.486855745421963e-13	1.0579833978767541e-10	False	-0.03076923068635118	-3.431414591720808	True	35.5	b_number	-64.5	-1	1		-1	True
yifJ	b3792	1	ECAtpp	0.0	0.8966923076922516	0.8966923076917969	0.8966923076153507		-4.547473508864641e-13	-5.071386773204429e-11	False			False	192.3	b_number	92.30000000000001	1	-1		0	
