dataset	relpath	url	bytes	md5	drop
karlsson2013	PRJEB1786/ERR260176/ERR260176_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260176/ERR260176_2.fastq.gz	1736856653	c69ba60b0231d7572158a0e40ca1dab9	1
karlsson2013	PRJEB1786/ERR260182/ERR260182_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260182/ERR260182_1.fastq.gz	2116648745	5ed170dace171bc715c3833ad1f4abda	1
karlsson2013	PRJEB1786/ERR260182/ERR260182_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260182/ERR260182_2.fastq.gz	2094004164	ef9dcc2a219be04ae8a4b9290ee74d69	1
karlsson2013	PRJEB1786/ERR260183/ERR260183_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260183/ERR260183_1.fastq.gz	2197134676	3ce79d65a94637f710326cb1cd183ceb	1
karlsson2013	PRJEB1786/ERR260183/ERR260183_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260183/ERR260183_2.fastq.gz	2172451968	dfb352faa743df128d7df844e677b6cf	1
karlsson2013	PRJEB1786/ERR260186/ERR260186_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260186/ERR260186_1.fastq.gz	1917358448	ca0f1c40ef3d90bebd2a9ad1e0a1d93c	1
karlsson2013	PRJEB1786/ERR260186/ERR260186_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260186/ERR260186_2.fastq.gz	1895386596	0e44def3ea10dd170625448722ac25aa	1
karlsson2013	PRJEB1786/ERR260189/ERR260189_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260189/ERR260189_1.fastq.gz	1760034477	5b83f11f2fb543d7f8a0747e5612cf31	1
karlsson2013	PRJEB1786/ERR260189/ERR260189_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260189/ERR260189_2.fastq.gz	1739516956	22f76b56ad6ad2729728a9236ebada15	1
karlsson2013	PRJEB1786/ERR260191/ERR260191_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260191/ERR260191_1.fastq.gz	2394327766	44295784ca991d87e027f6f6bea7efb9	1
